wellName,datasetName,MD,AZIM_TN,DX_TN,DY_TN,INCL,THL_TN,TVD,TVDBML,TVDSS,Z
,,m,dega,m,m,dega,m,m,m,m,m
BEKOK DEEP-1RDR1,Index,3131.21159999903,319.45096642511,-9.0848809312275,0.389193373711642,3.4463912099776,22.5904494748865,3130.96087901505,3026.66087901505,3096.96087901505,-3096.96087901505
BEKOK DEEP-1RDR1,Index,3131.36399999903,319.478430615762,-9.09082739130035,0.396167247750952,3.44897438414483,22.5996143702222,3131.11300319027,3026.81300319027,3097.11300319027,-3097.11300319027
BEKOK DEEP-1RDR1,Index,3131.51639999902,319.505901636604,-9.09677530200526,0.403148898130711,3.45155819378998,22.608786124895,3131.26512695209,3026.96512695209,3097.26512695209,-3097.26512695209
BEKOK DEEP-1RDR1,Index,3131.66879999902,319.533365827256,-9.10272466332616,0.410138324832055,3.45414263748697,22.6179647405717,3131.4172503001,3027.1172503001,3097.4172503001,-3097.4172503001
BEKOK DEEP-1RDR1,Index,3131.82119999902,319.560830017909,-9.10867547524696,0.417135527836102,3.45672771381364,22.6271502189151,3131.56937323388,3027.26937323388,3097.56937323388,-3097.56937323388
BEKOK DEEP-1RDR1,Index,3131.97359999902,319.588297623656,-9.1146277377516,0.424140507123948,3.45931342135175,22.6363425615842,3131.72149575303,3027.42149575303,3097.72149575303,-3097.72149575303
BEKOK DEEP-1RDR1,Index,3132.12599999902,319.615761814309,-9.120581450824,0.43115326267667,3.46189975868691,22.6455417702345,3131.87361785713,3027.57361785713,3097.87361785713,-3097.87361785713
BEKOK DEEP-1RDR1,Index,3132.27839999902,319.643226004962,-9.12653661444806,0.43817379447532,3.46448672440865,22.6547478465173,3132.02573954576,3027.72573954576,3098.02573954576,-3098.02573954576
BEKOK DEEP-1RDR1,Index,3132.43079999902,319.670693610709,-9.13249322860771,0.445202102500934,3.46707431711035,22.6639607920805,3132.17786081853,3027.87786081853,3098.17786081853,-3098.17786081853
BEKOK DEEP-1RDR1,Index,3132.58319999902,319.698161216456,-9.13845129328684,0.452238186734521,3.46966253538924,22.673180608568,3132.32998167502,3028.02998167502,3098.32998167502,-3098.32998167502
