wellName,datasetName,DEPTH,GR,NPHI,RHOB,RT
BEKOK DEEP-1RDR1 ST1,EDIT,935.4312,78.23999786,0.371600002,2.335000038,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,935.5836,78.31999969,0.385399997,2.353800058,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,935.736,91.76999664,0.416500002,2.328299999,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,935.8884,92.52999878,0.415399998,2.355999947,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,936.0408,85.38999939,0.3838,2.354799986,1.519999981
BEKOK DEEP-1RDR1 ST1,EDIT,936.1932,83.73999786,0.390899986,2.325599909,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,936.3456,91.26000214,0.41080001,2.328299999,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,936.498,100.2699966,0.400599986,2.332600117,1.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,936.6504,102.2200012,0.405200005,2.251899958,1.49000001
BEKOK DEEP-1RDR1 ST1,EDIT,936.8028,89.52999878,0.388999999,2.259200096,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,936.9552,90.73000336,0.393000007,2.31159997,1.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,937.1076,87.62000275,0.385800004,2.296200037,1.50999999
BEKOK DEEP-1RDR1 ST1,EDIT,937.26,103.1600037,0.401300013,2.276000023,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,937.4124,105.3600006,0.423700005,2.293299913,1.539999962
BEKOK DEEP-1RDR1 ST1,EDIT,937.5648,96.73999786,0.392199993,2.300499916,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,937.7172,101.2300034,0.414999992,2.289000034,1.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,937.8696,112.1600037,0.39320001,2.279599905,1.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,938.022,110.5599976,0.389200002,2.30189991,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,938.1744,102.2099991,0.40079999,2.302599907,1.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,938.3268,104.7099991,0.421299994,2.292599916,1.419999957
BEKOK DEEP-1RDR1 ST1,EDIT,938.4792,98.52999878,0.397100002,2.298799992,1.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,938.6316,105.2799988,0.397000015,2.302700043,1.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,938.784,112.5,0.39320001,2.303200006,1.419999957
BEKOK DEEP-1RDR1 ST1,EDIT,938.9364,96.19000244,0.384499997,2.300299883,1.399999976
BEKOK DEEP-1RDR1 ST1,EDIT,939.0888,74.08000183,0.37439999,2.284199953,1.419999957
BEKOK DEEP-1RDR1 ST1,EDIT,939.2412,92.37999725,0.377700001,2.300499916,1.460000038
BEKOK DEEP-1RDR1 ST1,EDIT,939.3936,105.4899979,0.367900014,2.306299925,1.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,939.546,95.41000366,0.365399987,2.280699968,1.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,939.6984,101.8000031,0.366899997,2.282000065,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,939.8508,101.4599991,0.353899986,2.302700043,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,940.0032,99.73000336,0.350400001,2.326299906,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,940.1556,92.01000214,0.356000006,2.302400112,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,940.308,101.8499985,0.351000011,2.306099892,1.580000043
BEKOK DEEP-1RDR1 ST1,EDIT,940.4604,91.12999725,0.350699991,2.283499956,1.590000033
BEKOK DEEP-1RDR1 ST1,EDIT,940.6128,92.97000122,0.345699996,2.271800041,1.600000024
BEKOK DEEP-1RDR1 ST1,EDIT,940.7652,105.8899994,0.33860001,2.289400101,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,940.9176,96.05000305,0.358099997,2.284600019,1.519999981
BEKOK DEEP-1RDR1 ST1,EDIT,941.07,87.05000305,0.359699994,2.27699995,1.50999999
BEKOK DEEP-1RDR1 ST1,EDIT,941.2224,92.83000183,0.367599994,2.288100004,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,941.3748,91.90000153,0.335299999,2.240099907,1.690000057
BEKOK DEEP-1RDR1 ST1,EDIT,941.5272,87.76999664,0.337099999,2.15170002,1.820000052
BEKOK DEEP-1RDR1 ST1,EDIT,941.6796,97.34999847,0.336800009,2.170700073,1.850000024
BEKOK DEEP-1RDR1 ST1,EDIT,941.832,99.68000031,0.335799992,2.20539999,1.879999995
BEKOK DEEP-1RDR1 ST1,EDIT,941.9844,84.43000031,0.324699998,2.215199947,1.889999986
BEKOK DEEP-1RDR1 ST1,EDIT,942.1368,85.69000244,0.337500006,2.231400013,1.919999957
BEKOK DEEP-1RDR1 ST1,EDIT,942.2892,84.65000153,0.32280001,2.251300097,1.940000057
BEKOK DEEP-1RDR1 ST1,EDIT,942.4416,100.3499985,0.332300007,2.251300097,1.940000057
BEKOK DEEP-1RDR1 ST1,EDIT,942.594,91.58999634,0.338200003,2.275899887,1.909999967
BEKOK DEEP-1RDR1 ST1,EDIT,942.7464,100.0800018,0.328099996,2.2973001,1.899999976
BEKOK DEEP-1RDR1 ST1,EDIT,942.8988,109.4700012,0.34040001,2.304899931,1.909999967
BEKOK DEEP-1RDR1 ST1,EDIT,943.0512,98.23000336,0.321799994,2.304399967,1.929999948
BEKOK DEEP-1RDR1 ST1,EDIT,943.2036,96.51000214,0.326400012,2.281899929,1.99000001
BEKOK DEEP-1RDR1 ST1,EDIT,943.356,102.0400009,0.335000008,2.253200054,2.029999971
BEKOK DEEP-1RDR1 ST1,EDIT,943.5084,99.02999878,0.307900012,2.246700048,2.00999999
BEKOK DEEP-1RDR1 ST1,EDIT,943.6608,89.33000183,0.31220001,2.256700039,2
BEKOK DEEP-1RDR1 ST1,EDIT,943.8132,99.65000153,0.307200015,2.25180006,2.029999971
BEKOK DEEP-1RDR1 ST1,EDIT,943.9656,99.87999725,0.292499989,2.230600119,2.140000105
BEKOK DEEP-1RDR1 ST1,EDIT,944.118,85.40000153,0.2949,2.174799919,2.24000001
BEKOK DEEP-1RDR1 ST1,EDIT,944.2704,96.75,0.279599994,2.148299932,2.230000019
BEKOK DEEP-1RDR1 ST1,EDIT,944.4228,94.65000153,0.275099993,2.148099899,2.160000086
BEKOK DEEP-1RDR1 ST1,EDIT,944.5752,98.80000305,0.291399986,2.134200096,2.079999924
BEKOK DEEP-1RDR1 ST1,EDIT,944.7276,101.0299988,0.29339999,2.104300022,2.00999999
BEKOK DEEP-1RDR1 ST1,EDIT,944.88,102.5899963,0.300799996,2.118900061,1.909999967
BEKOK DEEP-1RDR1 ST1,EDIT,945.0324,101.7300034,0.3301,2.165400028,1.889999986
BEKOK DEEP-1RDR1 ST1,EDIT,945.1848,97.55000305,0.305799991,2.220099926,1.879999995
BEKOK DEEP-1RDR1 ST1,EDIT,945.3372,100.1500015,0.293199986,2.232199907,1.879999995
BEKOK DEEP-1RDR1 ST1,EDIT,945.4896,90.90000153,0.299499989,2.229799986,1.860000014
BEKOK DEEP-1RDR1 ST1,EDIT,945.642,91.70999908,0.29339999,2.244199991,1.820000052
BEKOK DEEP-1RDR1 ST1,EDIT,945.7944,93.69000244,0.3046,2.237799883,1.789999962
BEKOK DEEP-1RDR1 ST1,EDIT,945.9468,93.44000244,0.3204,2.259399891,1.75999999
BEKOK DEEP-1RDR1 ST1,EDIT,946.0992,103.1399994,0.346199989,2.255100012,1.75999999
BEKOK DEEP-1RDR1 ST1,EDIT,946.2516,95.05999756,0.352200001,2.278599977,1.840000033
BEKOK DEEP-1RDR1 ST1,EDIT,946.404,96.5,0.370599985,2.25880003,2
BEKOK DEEP-1RDR1 ST1,EDIT,946.5564,85.58000183,0.32069999,2.231400013,2.150000095
BEKOK DEEP-1RDR1 ST1,EDIT,946.7088,75.33000183,0.294400007,2.218699932,2.210000038
BEKOK DEEP-1RDR1 ST1,EDIT,946.8612,78.87999725,0.285600007,2.186800003,2.200000048
BEKOK DEEP-1RDR1 ST1,EDIT,947.0136,79.65000153,0.320499986,2.193700075,2.269999981
BEKOK DEEP-1RDR1 ST1,EDIT,947.166,77.45999908,0.305000007,2.20720005,2.420000076
BEKOK DEEP-1RDR1 ST1,EDIT,947.3184,90.72000122,0.303000003,2.23939991,2.49000001
BEKOK DEEP-1RDR1 ST1,EDIT,947.4708,96.30999756,0.312999994,2.262099981,2.50999999
BEKOK DEEP-1RDR1 ST1,EDIT,947.6232,98.25,0.324800014,2.270200014,2.460000038
BEKOK DEEP-1RDR1 ST1,EDIT,947.7756,100.6999969,0.327100009,2.27670002,2.349999905
BEKOK DEEP-1RDR1 ST1,EDIT,947.928,94.51000214,0.319299996,2.279099941,2.319999933
BEKOK DEEP-1RDR1 ST1,EDIT,948.0804,91.90000153,0.344999999,2.276799917,2.339999914
BEKOK DEEP-1RDR1 ST1,EDIT,948.2328,89.18000031,0.339300007,2.270800114,2.309999943
BEKOK DEEP-1RDR1 ST1,EDIT,948.3852,83.45999908,0.335500002,2.251199961,2.279999971
BEKOK DEEP-1RDR1 ST1,EDIT,948.5376,73.80999756,0.318699986,2.23149991,2.25999999
BEKOK DEEP-1RDR1 ST1,EDIT,948.69,83.87999725,0.342000008,2.245800018,2.25999999
BEKOK DEEP-1RDR1 ST1,EDIT,948.8424,102.9800034,0.342999995,2.252199888,2.269999981
BEKOK DEEP-1RDR1 ST1,EDIT,948.9948,88.87999725,0.326700002,2.249700069,2.289999962
BEKOK DEEP-1RDR1 ST1,EDIT,949.1472,89.26000214,0.359800011,2.255899906,2.319999933
BEKOK DEEP-1RDR1 ST1,EDIT,949.2996,84.76999664,0.352499992,2.265100002,2.349999905
BEKOK DEEP-1RDR1 ST1,EDIT,949.452,83.79000092,0.341300011,2.287100077,2.369999886
BEKOK DEEP-1RDR1 ST1,EDIT,949.6044,84.88999939,0.316599995,2.287499905,2.369999886
BEKOK DEEP-1RDR1 ST1,EDIT,949.7568,85.04000092,0.312400013,2.289299965,2.339999914
BEKOK DEEP-1RDR1 ST1,EDIT,949.9092,94.61000061,0.323599994,2.274800062,2.359999895
BEKOK DEEP-1RDR1 ST1,EDIT,950.0616,98.83000183,0.330500007,2.281100035,2.369999886
